"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 28 21:06:06 CAT 2023","Tue Nov 28 21:06:10 CAT 2023","4062","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuite","booking_test_suite.ShadyMeadowUITestSuite","createBookingOmitEmailAssertCorrectErrorIsDisplayed","createBookingOmitEmailAssertCorrectErrorIsDisplayed","Test to create a booking with omitted email and assert correct error message"
"passed","Wed Nov 29 00:10:27 CAT 2023","Wed Nov 29 00:10:33 CAT 2023","6000","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuiteRefactored","booking_test_suite.ShadyMeadowUITestSuiteRefactored","createBookingOmitEmailAssertCorrectErrorIsDisplayed1","createBookingOmitEmailAssertCorrectErrorIsDisplayed1","Test to create a booking with omitted email and assert correct error message"
"failed","Wed Nov 29 14:54:25 CAT 2023","Wed Nov 29 14:54:28 CAT 2023","3061","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuiteRefactored","booking_test_suite.ShadyMeadowUITestSuiteRefactored","createBookingOmitEmailAssertCorrectErrorIsDisplayed","createBookingOmitEmailAssertCorrectErrorIsDisplayed","Test to create a booking with omitted email and assert correct error message"
"broken","Wed Nov 29 13:19:14 CAT 2023","Wed Nov 29 13:19:14 CAT 2023","1","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuiteRefactored","booking_test_suite.ShadyMeadowUITestSuiteRefactored","tearDown","tearDown",""
"failed","Wed Nov 29 14:54:28 CAT 2023","Wed Nov 29 14:54:35 CAT 2023","6550","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuiteRefactored","booking_test_suite.ShadyMeadowUITestSuiteRefactored","createSuccessfulBookingFrom14112023To17112023AssertCorrectDate","createSuccessfulBookingFrom14112023To17112023AssertCorrectDate","Test to create a successful booking from 14/11/2023 to 17/11/2023 and assert correct date"
"failed","Tue Nov 28 20:49:50 CAT 2023","Tue Nov 28 20:49:59 CAT 2023","8444","Default Suite","ShadyMeadowBnB","booking_test_suite.bookingCreation1","booking_test_suite.bookingCreation1","createBookingOmitEmailAssertCorrectErrorIsDisplayed","createBookingOmitEmailAssertCorrectErrorIsDisplayed","Test to create a booking with omitted email and assert correct error message"
"failed","Tue Nov 28 21:06:10 CAT 2023","Tue Nov 28 21:06:12 CAT 2023","2049","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuite","booking_test_suite.ShadyMeadowUITestSuite","createSuccessfulBookingFrom14112023To17112023AssertCorrectDate","createSuccessfulBookingFrom14112023To17112023AssertCorrectDate","Test to create a successful booking from 14/11/2023 to 17/11/2023 and assert correct date"
"broken","Tue Nov 28 20:49:59 CAT 2023","Tue Nov 28 20:50:12 CAT 2023","13300","Default Suite","ShadyMeadowBnB","booking_test_suite.bookingCreation1","booking_test_suite.bookingCreation1","createSuccessfulBookingFrom14112023To17112023AssertCorrectDate","createSuccessfulBookingFrom14112023To17112023AssertCorrectDate","Test to create a successful booking from 14/11/2023 to 17/11/2023 and assert correct date"
"passed","Wed Nov 29 00:53:55 CAT 2023","Wed Nov 29 00:54:00 CAT 2023","5928","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuite","booking_test_suite.ShadyMeadowUITestSuite","deleteCreatedBooking","deleteCreatedBooking","Test to delete a created booking"
"failed","Wed Nov 29 12:33:41 CAT 2023","Wed Nov 29 12:33:47 CAT 2023","5850","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuiteRefactored","booking_test_suite.ShadyMeadowUITestSuiteRefactored","createSuccessfulBookingFrom14112023To17112023AssertCorrectDate1","createSuccessfulBookingFrom14112023To17112023AssertCorrectDate1","Test to create a successful booking from 14/11/2023 to 17/11/2023 and assert correct date"
"passed","Wed Nov 29 14:54:35 CAT 2023","Wed Nov 29 14:54:38 CAT 2023","3189","Default Suite","ShadyMeadowBnB","booking_test_suite.ShadyMeadowUITestSuiteRefactored","booking_test_suite.ShadyMeadowUITestSuiteRefactored","deleteCreatedBooking","deleteCreatedBooking","Test to delete a created booking"
"broken","Tue Nov 28 20:50:12 CAT 2023","Tue Nov 28 20:50:12 CAT 2023","0","Default Suite","ShadyMeadowBnB","booking_test_suite.bookingCreation1","booking_test_suite.bookingCreation1","tearDown","tearDown",""
